annotator	argumentative	overall quality	local acceptability	appropriateness	arrangement	clarity	cogency	effectiveness	global acceptability	global relevance	global sufficiency	reasonableness	local relevance	credibility	emotional appeal	sufficiency	argument	#id	issue	stance
2	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	"gays are overrated. it is another ""look at me"" stunt. i think gays are the product of overly protective parents, abuse, or liberal wakoness (it should be a disease). <br/> if you gays would stop calling attention to yourselves, nobody would really care what you do."	12466	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	"gays are overrated. it is another ""look at me"" stunt. i think gays are the product of overly protective parents, abuse, or liberal wakoness (it should be a disease). <br/> if you gays would stop calling attention to yourselves, nobody would really care what you do."	12466	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
1	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	"I did not propose ""separate but equal."" I proposed ""distinct and different."" Man/woman relationships, especially in the aggregate, have a very different set of implications than man/man and woman/woman relationships. If the law is to contemplate man/woman relationships intelligently, it has to be able to isolate them. <br/> A law requiring separate schools and public accomodations for homosexual people would violate ""separate but equal."" Law defining marriage as a man/woman relationship does not."	12431	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
2	y	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	1 (Low)	"I did not propose ""separate but equal."" I proposed ""distinct and different."" Man/woman relationships, especially in the aggregate, have a very different set of implications than man/man and woman/woman relationships. If the law is to contemplate man/woman relationships intelligently, it has to be able to isolate them. <br/> A law requiring separate schools and public accomodations for homosexual people would violate ""separate but equal."" Law defining marriage as a man/woman relationship does not."	12431	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	"I did not propose ""separate but equal."" I proposed ""distinct and different."" Man/woman relationships, especially in the aggregate, have a very different set of implications than man/man and woman/woman relationships. If the law is to contemplate man/woman relationships intelligently, it has to be able to isolate them. <br/> A law requiring separate schools and public accomodations for homosexual people would violate ""separate but equal."" Law defining marriage as a man/woman relationship does not."	12431	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	"From a religious standpoint gay marriage isn't even possible. Let along right. But everyone isn't religious or adheres to specific religious guidance. <br/> Marriage is defined as between a woman and a man. So the word ""marriage"" may be misused in this case. Civil unions, well that's a different matter."	12402	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
2	y	2 (Average)	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	"From a religious standpoint gay marriage isn't even possible. Let along right. But everyone isn't religious or adheres to specific religious guidance. <br/> Marriage is defined as between a woman and a man. So the word ""marriage"" may be misused in this case. Civil unions, well that's a different matter."	12402	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
3	y	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	"From a religious standpoint gay marriage isn't even possible. Let along right. But everyone isn't religious or adheres to specific religious guidance. <br/> Marriage is defined as between a woman and a man. So the word ""marriage"" may be misused in this case. Civil unions, well that's a different matter."	12402	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	"If being homosexual was natural then <br/> 1. There would only be possibly 6 people on the earth...meaning none of the people making up these sarcastic remakes would be around....heck I wouldn't be around <br/> 2. If homosexuality was natural then the butthole would be in the front part of the body. <br/> Its never been accepted as ""natural"" by society only till now. So i'm pretty sure thousands of years of recorded human history have a little more weight than some piss ant liberal venting on how its unfair."	12430	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
2	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	"If being homosexual was natural then <br/> 1. There would only be possibly 6 people on the earth...meaning none of the people making up these sarcastic remakes would be around....heck I wouldn't be around <br/> 2. If homosexuality was natural then the butthole would be in the front part of the body. <br/> Its never been accepted as ""natural"" by society only till now. So i'm pretty sure thousands of years of recorded human history have a little more weight than some piss ant liberal venting on how its unfair."	12430	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	"If being homosexual was natural then <br/> 1. There would only be possibly 6 people on the earth...meaning none of the people making up these sarcastic remakes would be around....heck I wouldn't be around <br/> 2. If homosexuality was natural then the butthole would be in the front part of the body. <br/> Its never been accepted as ""natural"" by society only till now. So i'm pretty sure thousands of years of recorded human history have a little more weight than some piss ant liberal venting on how its unfair."	12430	gay-marriage-right-or-wrong	allowing-gay-marriage-is-wrong
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	I strongly believe parents should not use physical punishment like spanking to discipline their child. The child will obey if they have a strong healthy relationship with a parent, if they have gained their respect. The parents should have a friendly relationship with their child and the child will soon respect them and agree to what their parents decide although they may not like it. They will learn that the parents know whats best for them.	arg336204	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	2 (Average)	2 (Average)	3 (High)	2 (Average)	3 (High)	2 (Average)	1 (Low)	3 (High)	1 (Low)	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	1 (Low)	I strongly believe parents should not use physical punishment like spanking to discipline their child. The child will obey if they have a strong healthy relationship with a parent, if they have gained their respect. The parents should have a friendly relationship with their child and the child will soon respect them and agree to what their parents decide although they may not like it. They will learn that the parents know whats best for them.	arg336204	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	I strongly believe parents should not use physical punishment like spanking to discipline their child. The child will obey if they have a strong healthy relationship with a parent, if they have gained their respect. The parents should have a friendly relationship with their child and the child will soon respect them and agree to what their parents decide although they may not like it. They will learn that the parents know whats best for them.	arg336204	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	A parent shouldn't use spanking as an option to discipline a child because they might grow up traumatized and they might feel unloved since they would get spanked a lot, that will cause a low self of esteem. Also spanking shouldn't be an option because at that moment the parent would be full with anger and they wouldn't be thinking logically.	arg334934	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	2 (Average)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	A parent shouldn't use spanking as an option to discipline a child because they might grow up traumatized and they might feel unloved since they would get spanked a lot, that will cause a low self of esteem. Also spanking shouldn't be an option because at that moment the parent would be full with anger and they wouldn't be thinking logically.	arg334934	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	A parent shouldn't use spanking as an option to discipline a child because they might grow up traumatized and they might feel unloved since they would get spanked a lot, that will cause a low self of esteem. Also spanking shouldn't be an option because at that moment the parent would be full with anger and they wouldn't be thinking logically.	arg334934	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	No because hitting your child could mentally scar them for life. also it can make them think hitting their kids is alright.	arg336179	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	1 (Low)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	No because hitting your child could mentally scar them for life. also it can make them think hitting their kids is alright.	arg336179	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	No because hitting your child could mentally scar them for life. also it can make them think hitting their kids is alright.	arg336179	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	Nope. I believe it shouldnt be done just to discipline a child. Parents could just scold their child just so they would stop what they are doing wrong. Hitting is not really a solution because aside hurting a child emotionally, it also hurts them physically. Kids wouldnt learn the value of respect for their parents because they would only learn how to be scared. They wont do the wrong action again next time, not because they've learned their lesson, but because they are just scared that their parents would hit them	arg335564	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Nope. I believe it shouldnt be done just to discipline a child. Parents could just scold their child just so they would stop what they are doing wrong. Hitting is not really a solution because aside hurting a child emotionally, it also hurts them physically. Kids wouldnt learn the value of respect for their parents because they would only learn how to be scared. They wont do the wrong action again next time, not because they've learned their lesson, but because they are just scared that their parents would hit them	arg335564	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	1 (Low)	2 (Average)	3 (High)	Nope. I believe it shouldnt be done just to discipline a child. Parents could just scold their child just so they would stop what they are doing wrong. Hitting is not really a solution because aside hurting a child emotionally, it also hurts them physically. Kids wouldnt learn the value of respect for their parents because they would only learn how to be scared. They wont do the wrong action again next time, not because they've learned their lesson, but because they are just scared that their parents would hit them	arg335564	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	Parents shouldn't use spanking as an option to discipline it just makes the child get mad than to see what they did wrong.	arg335091	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	Parents shouldn't use spanking as an option to discipline it just makes the child get mad than to see what they did wrong.	arg335091	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	Parents shouldn't use spanking as an option to discipline it just makes the child get mad than to see what they did wrong.	arg335091	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	I don't think anybody would have liked to get spanked by there parents therefore , spanking shouldn't be an Option	arg335129	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	1 (Low)	3 (High)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	I don't think anybody would have liked to get spanked by there parents therefore , spanking shouldn't be an Option	arg335129	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	I don't think anybody would have liked to get spanked by there parents therefore , spanking shouldn't be an Option	arg335129	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Some kids don't learn by spanking them..So why waste your time on that, when you can always take something valuable away from them.	arg335030	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Some kids don't learn by spanking them..So why waste your time on that, when you can always take something valuable away from them.	arg335030	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Some kids don't learn by spanking them..So why waste your time on that, when you can always take something valuable away from them.	arg335030	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	No because spanking might effects the relationship between the child and parents. And Children can pick up on the parents attitude acting violent. There are better ways to solve problems, for example using the other techniques.	arg334943	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	1 (Low)	No because spanking might effects the relationship between the child and parents. And Children can pick up on the parents attitude acting violent. There are better ways to solve problems, for example using the other techniques.	arg334943	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	No because spanking might effects the relationship between the child and parents. And Children can pick up on the parents attitude acting violent. There are better ways to solve problems, for example using the other techniques.	arg334943	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	Physical abuse towards children causes them to fear their parents and may cause a stutter.	arg334968	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	2 (Average)	3 (High)	3 (High)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Physical abuse towards children causes them to fear their parents and may cause a stutter.	arg334968	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	Physical abuse towards children causes them to fear their parents and may cause a stutter.	arg334968	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	Spanking should not be an option to discipline a child, parents have a lot other options before spanking. Its better to talk to them about what they did wrong and solve the problem in a proper way.	arg335095	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
2	y	1 (Low)	3 (High)	3 (High)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	Spanking should not be an option to discipline a child, parents have a lot other options before spanking. Its better to talk to them about what they did wrong and solve the problem in a proper way.	arg335095	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	Spanking should not be an option to discipline a child, parents have a lot other options before spanking. Its better to talk to them about what they did wrong and solve the problem in a proper way.	arg335095	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	no
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	arg334884	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	arg334884	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	arg334884	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	arg335097	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	1 (Low)	3 (High)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	arg335097	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	arg335097	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad	arg334959	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad	arg334959	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	1 (Low)	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad	arg334959	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	2 (Average)	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	arg335047	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	arg335047	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	arg335047	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	arg334973	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	arg334973	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	arg334973	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.	arg334924	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.	arg334924	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.	arg334924	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	arg336563	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	arg336563	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	1 (Low)	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	arg336563	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
